id,start_date,end_date,guest_id,total
1,2020-10-13,2020-10-17,643,720.00
2,2021-5-9,2021-5-16,841,1350.00
3,2020-11-12,2020-11-15,556,585.00
4,2020-7-26,2020-8-2,239,1350.00
5,2021-6-9,2021-6-12,802,540.00
6,2020-9-12,2020-9-19,529,1350.00
7,2020-10-29,2020-11-3,292,990.00
8,2020-12-22,2020-12-28,98,1170.00
9,2021-4-29,2021-5-1,116,360.00
10,2020-12-28,2021-1-2,773,900.00
11,2021-3-6,2021-3-12,156,1170.00
12,2021-7-11,2021-7-12,1000,225.00
13,2020-11-22,2020-11-24,656,405.00
14,2020-10-6,2020-10-14,40,500.00
